recording_id,source,source_id,filename,current_path,bytes,suffix,sha256,primary_label_weak,label_basis,mixture_hint,review_status,license,source_url,reviewed_primary_label,background_labels,valid_intervals,review_notes,indexed_at,duration_seconds,samplerate,channels,frames,audio_format,audio_subtype,read_error
2026031918点21分——纯色啄花鸟——两声看见，野菜园,local_or_shared,,2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,D:\C\Desktop\ai\xykw\data\2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,13663910,.wav,c0562c1d2a4b4a737d2bf380e43f5f678cc07abf72c7e0a1ad1528f5c6c92934,纯色啄花鸟,filename_local,False,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,47.424896,48000,2,2276395,WAV,PCM_24,
20260514 12点57分——灰胸山鹪莺——两声，3H_01,local_or_shared,,20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,D:\C\Desktop\ai\xykw\data\20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,7983688,.wav,fad9f48e014e557bab6f7e744166104027833eae087d9f5d2e47576ffc6ea98a,灰胸山鹪莺,filename_local,False,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,27.698833,48000,2,1329544,WAV,PCM_24,
251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟,local_or_shared,,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,D:\C\Desktop\ai\xykw\data\251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,87880786,.wav,1bacc7a801fedb5105f77a5cc328205f02d78b3f9f65306f973f7ab670cf7a55,白喉短翅鸫,filename_local,True,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,305.127396,48000,2,14646115,WAV,PCM_24,
260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠,local_or_shared,,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,15177934,.wav,76b2bb8bf0fab7d1e847944fb63c16fdeed7e1ced049b1f48a90e943df17e38e,古铜色卷尾,filename_local,True,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,52.686937,48000,2,2528973,WAV,PCM_24,
260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟,local_or_shared,,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,D:\C\Desktop\ai\xykw\data\260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,15024166,.wav,7a95052ec83d649294b7b243ef68bf0eec15a096d0d274650cc3fa19d5ba6bc7,长嘴捕蛛鸟,filename_local,True,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,52.153021,48000,2,2503345,WAV,PCM_24,
260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃,local_or_shared,,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,11376988,.wav,7e90e3adf37171a86665c594182a7c65676f1e37c7cfe4213f7d31bb95e6d94a,赤胸拟啄木鸟,filename_local,True,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,39.489208,48000,2,1895482,WAV,PCM_24,
260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟,local_or_shared,,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,D:\C\Desktop\ai\xykw\data\260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,21087412,.wav,6d0f7a1a46f54d63279e99cb4c3537cf1ffa9e69df166033863db26f0a413fbb,黄腹鹟莺,filename_local,True,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,73.205958,48000,2,3513886,WAV,PCM_24,
260606_0923——灰卷尾——婉转叫声,local_or_shared,,260606_0923——灰卷尾——婉转叫声.wav,D:\C\Desktop\ai\xykw\data\260606_0923——灰卷尾——婉转叫声.wav,17866164,.wav,a1aaa79d0c20947082584a5e0dc68faf92c8e5ec0f59ab7b7d73c1eef9ab3e4b,灰卷尾,filename_local,False,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,62.005896,48000,2,2976283,WAV,PCM_24,
260607_1024——白腰鹊鸲——近距离，B,local_or_shared,,260607_1024——白腰鹊鸲——近距离，B.wav,D:\C\Desktop\ai\xykw\data\260607_1024——白腰鹊鸲——近距离，B.wav,16549056,.wav,79f5c82d47f849e180fcd504ca2f89360ba68dbb2e97553b8a3367b5663fd2b3,白腰鹊鸲,filename_local,False,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,57.432604,48000,2,2756765,WAV,PCM_24,
260622_1846——褐喉食蜜鸟——清晰A,local_or_shared,,260622_1846——褐喉食蜜鸟——清晰A.wav,D:\C\Desktop\ai\xykw\data\260622_1846——褐喉食蜜鸟——清晰A.wav,8163288,.wav,670934cb06fe2406e9c1f91a6713e5b1ebd8e956831df1659312ede5bd747b17,褐喉食蜜鸟,filename_local,False,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,28.315354,48000,2,1359137,WAV,PCM_24,
260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B,local_or_shared,,260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,D:\C\Desktop\ai\xykw\data\260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,10605222,.wav,6dee8880cd69cdb875c609cab019e680910455c45239b95f84c58d54cc236e32,白喉红臀鹎,filename_local,False,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,36.794292,48000,2,1766126,WAV,PCM_24,
260704_1712——褐喉食蜜鸟——苗圃，看见，A,local_or_shared,,260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,D:\C\Desktop\ai\xykw\data\260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,8535618,.wav,9e1c88de50456f054e530db5f5341e65a0d15c0359cedcaa22213abf5622ae66,褐喉食蜜鸟,filename_local,False,pending,,,,,,,2026-07-31T08:36:44.716387+00:00,29.608167,48000,2,1421192,WAV,PCM_24,
