audio_format,audio_subtype,background_labels,bytes,channels,current_path,detected_at_0_25,detected_at_0_50,duration_seconds,evaluation_eligible,expected_best_confidence,expected_species_label,filename,frames,indexed_at,label_basis,license,mixture_hint,primary_label_weak,read_error,recording_id,review_notes,review_status,reviewed_primary_label,samplerate,sha256,source,source_id,source_url,suffix,top_target_confidence,top_target_species,valid_intervals
WAV,PCM_24,,13663910,2,D:\C\Desktop\ai\xykw\data\2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,False,False,47.424896,False,0.0,,2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,2276395,2026-07-31T08:36:44.716387+00:00,filename_local,,False,纯色啄花鸟,,2026031918点21分——纯色啄花鸟——两声看见，野菜园,,pending,,48000,c0562c1d2a4b4a737d2bf380e43f5f678cc07abf72c7e0a1ad1528f5c6c92934,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,7983688,2,D:\C\Desktop\ai\xykw\data\20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,False,False,27.698833,False,0.0,,20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,1329544,2026-07-31T08:36:44.716387+00:00,filename_local,,False,灰胸山鹪莺,,20260514 12点57分——灰胸山鹪莺——两声，3H_01,,pending,,48000,fad9f48e014e557bab6f7e744166104027833eae087d9f5d2e47576ffc6ea98a,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,87880786,2,D:\C\Desktop\ai\xykw\data\251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,False,False,305.127396,False,0.0,,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,14646115,2026-07-31T08:36:44.716387+00:00,filename_local,,True,白喉短翅鸫,,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟,,pending,,48000,1bacc7a801fedb5105f77a5cc328205f02d78b3f9f65306f973f7ab670cf7a55,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,15177934,2,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,False,False,52.686937,False,0.0,,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,2528973,2026-07-31T08:36:44.716387+00:00,filename_local,,True,古铜色卷尾,,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠,,pending,,48000,76b2bb8bf0fab7d1e847944fb63c16fdeed7e1ced049b1f48a90e943df17e38e,local_or_shared,,,.wav,0.158773,珠颈斑鸠,
WAV,PCM_24,,15024166,2,D:\C\Desktop\ai\xykw\data\260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,False,False,52.153021,False,0.0,,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,2503345,2026-07-31T08:36:44.716387+00:00,filename_local,,True,长嘴捕蛛鸟,,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟,,pending,,48000,7a95052ec83d649294b7b243ef68bf0eec15a096d0d274650cc3fa19d5ba6bc7,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,11376988,2,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,False,False,39.489208,False,0.0,,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,1895482,2026-07-31T08:36:44.716387+00:00,filename_local,,True,赤胸拟啄木鸟,,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃,,pending,,48000,7e90e3adf37171a86665c594182a7c65676f1e37c7cfe4213f7d31bb95e6d94a,local_or_shared,,,.wav,0.130692,白头鹎,
WAV,PCM_24,,21087412,2,D:\C\Desktop\ai\xykw\data\260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,False,False,73.205958,False,0.0,,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,3513886,2026-07-31T08:36:44.716387+00:00,filename_local,,True,黄腹鹟莺,,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟,,pending,,48000,6d0f7a1a46f54d63279e99cb4c3537cf1ffa9e69df166033863db26f0a413fbb,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,17866164,2,D:\C\Desktop\ai\xykw\data\260606_0923——灰卷尾——婉转叫声.wav,False,False,62.005896,False,0.0,,260606_0923——灰卷尾——婉转叫声.wav,2976283,2026-07-31T08:36:44.716387+00:00,filename_local,,False,灰卷尾,,260606_0923——灰卷尾——婉转叫声,,pending,,48000,a1aaa79d0c20947082584a5e0dc68faf92c8e5ec0f59ab7b7d73c1eef9ab3e4b,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,16549056,2,D:\C\Desktop\ai\xykw\data\260607_1024——白腰鹊鸲——近距离，B.wav,False,False,57.432604,False,0.0,,260607_1024——白腰鹊鸲——近距离，B.wav,2756765,2026-07-31T08:36:44.716387+00:00,filename_local,,False,白腰鹊鸲,,260607_1024——白腰鹊鸲——近距离，B,,pending,,48000,79f5c82d47f849e180fcd504ca2f89360ba68dbb2e97553b8a3367b5663fd2b3,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,8163288,2,D:\C\Desktop\ai\xykw\data\260622_1846——褐喉食蜜鸟——清晰A.wav,False,False,28.315354,False,0.0,,260622_1846——褐喉食蜜鸟——清晰A.wav,1359137,2026-07-31T08:36:44.716387+00:00,filename_local,,False,褐喉食蜜鸟,,260622_1846——褐喉食蜜鸟——清晰A,,pending,,48000,670934cb06fe2406e9c1f91a6713e5b1ebd8e956831df1659312ede5bd747b17,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,10605222,2,D:\C\Desktop\ai\xykw\data\260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,False,False,36.794292,False,0.0,,260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,1766126,2026-07-31T08:36:44.716387+00:00,filename_local,,False,白喉红臀鹎,,260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B,,pending,,48000,6dee8880cd69cdb875c609cab019e680910455c45239b95f84c58d54cc236e32,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,8535618,2,D:\C\Desktop\ai\xykw\data\260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,False,False,29.608167,False,0.0,,260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,1421192,2026-07-31T08:36:44.716387+00:00,filename_local,,False,褐喉食蜜鸟,,260704_1712——褐喉食蜜鸟——苗圃，看见，A,,pending,,48000,9e1c88de50456f054e530db5f5341e65a0d15c0359cedcaa22213abf5622ae66,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,35442342,2,D:\C\Desktop\ai\xykw\data\260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,False,False,123.034292,False,0.0,,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,5905646,2026-07-31T08:36:44.716387+00:00,filename_local,,True,棕胸雅鹛,,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声,,pending,,48000,0afd773d2037f8c1b324b2ff2781b8b00e328a1ed99e56f3d6dc327fb001eb60,local_or_shared,,,.wav,0.0,,
WAV,PCM_16,,11522630,2,D:\C\Desktop\ai\xykw\data\MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,False,False,60.0,False,0.0,,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,2880000,2026-07-31T08:36:44.716387+00:00,filename_local,,True,灰孔雀雉,,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃,,pending,,48000,0a26af81fd16e062ddaef353967b0dd2cda92ad705e78e6c33b98c84a5a343ef,local_or_shared,,,.wav,0.0,,
WAV,PCM_24,,37981086,2,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,True,True,131.858042,True,0.99631,Streptopelia chinensis_Spotted Dove,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,6329186,2026-07-31T08:36:44.716387+00:00,filename_xeno_canto,,False,珠颈斑鸠,,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),,pending,,48000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,xeno_canto,XC1002930,,.wav,0.99631,珠颈斑鸠,
MP3,MPEG_LAYER_III,,5080915,2,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,True,True,211.426479,True,0.965494,Pycnonotus sinensis_Light-vented Bulbul,XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,10148471,2026-07-31T08:36:44.716387+00:00,filename_xeno_canto,,False,白头鹎,,XC1106815 - 白头鹎 - Pycnonotus sinensis,,pending,,48000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,xeno_canto,XC1106815,,.mp3,0.965494,白头鹎,
MP3,MPEG_LAYER_III,,66836,2,D:\C\Desktop\ai\xykw\data\XC1136969 - 乌鸫 - Turdus mandarinus.mp3,False,False,2.5045,True,0.0,Turdus mandarinus_Chinese Blackbird,XC1136969 - 乌鸫 - Turdus mandarinus.mp3,120216,2026-07-31T08:36:44.716387+00:00,filename_xeno_canto,,False,乌鸫,,XC1136969 - 乌鸫 - Turdus mandarinus,,pending,,48000,d0c22dbaa829f5de872ff889a8066e876cf47bdebe4229093cee7770372d48c3,xeno_canto,XC1136969,,.mp3,0.0,,
MP3,MPEG_LAYER_III,,2876009,2,D:\C\Desktop\ai\xykw\data\XC1136970 - 乌鸫 - Turdus mandarinus.mp3,True,False,119.561917,True,0.295841,Turdus mandarinus_Chinese Blackbird,XC1136970 - 乌鸫 - Turdus mandarinus.mp3,5738972,2026-07-31T08:36:44.716387+00:00,filename_xeno_canto,,False,乌鸫,,XC1136970 - 乌鸫 - Turdus mandarinus,,pending,,48000,a389742030032de7763652e5938b9bebe95a68dbcd9a7516b490a819742e5646,xeno_canto,XC1136970,,.mp3,0.295841,乌鸫,
WAV,PCM_24,,41767326,2,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,False,False,145.0,False,0.0,,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,6960000,2026-07-31T08:36:44.716387+00:00,filename_xeno_canto,,False,小䴙䴘,,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1),,pending,,48000,d1b4b43ea30f292269c06aff3ca681993cd1a25f8be299ae5ddae3e0591bed06,xeno_canto,XC1145570,,.wav,0.0,,
