source,source_id,taxon_id,scientific_name,name_zh,category_id,source_url,media_url,license_code,license_url,commercial_compatible,attribution,quality_grade,observed_on,latitude,longitude,locality,split_hint,split_group,local_path,sha256,review_status,reviewer,valid_intervals,review_notes
shengshengbuxi_2026_official,official_1f94b3cc32605bed,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_1f94b3cc32605bedff368831788036fc5c60d216015afc92e0f2cc8edc1d8af2,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\虫\黑蚱蝉\黑蚱蝉__m4a.wav,1f94b3cc32605bedff368831788036fc5c60d216015afc92e0f2cc8edc1d8af2,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_c8d3b8095556b168,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_c8d3b8095556b16896fa332385014bfb96ee00eb5ef00d6a5440be0a2093b273,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\虫\黑蚱蝉\黑蚱蝉(1)__m4a.wav,c8d3b8095556b16896fa332385014bfb96ee00eb5ef00d6a5440be0a2093b273,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_d78976853a7ec11c,fejervarya_multistriata,Fejervarya multistriata,泽陆蛙,frog,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_d78976853a7ec11ce99e2f3c767f42ba1f2dc82edb9ac503f22c451f54c7e1f8,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\蛙\泽路蛙\泽陆蛙__wav.wav,d78976853a7ec11ce99e2f3c767f42ba1f2dc82edb9ac503f22c451f54c7e1f8,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_d9b9bda740f9d865,fejervarya_multistriata,Fejervarya multistriata,泽陆蛙,frog,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_d9b9bda740f9d8650f4c6d78810382ed5b4dcdb89e6db6616ee8b4ef86058488,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\蛙\泽路蛙\泽陆蛙__m4a.wav,d9b9bda740f9d8650f4c6d78810382ed5b4dcdb89e6db6616ee8b4ef86058488,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_4e527673f47a939c,mecopoda_elongata,Mecopoda elongata,纺织娘,insect,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_4e527673f47a939c960ea794b6ed242dda42278694b9229028f4e5f6f6e16724,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\虫\纺织娘\纺织娘__m4a.wav,4e527673f47a939c960ea794b6ed242dda42278694b9229028f4e5f6f6e16724,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_5714868243a18bb3,microhyla_fissipes,Microhyla fissipes,饰纹姬蛙,frog,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_5714868243a18bb30c8d6008c296d948f0d0ab8ca1bdd161d4041e4dfe65a6c4,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\蛙\饰纹姬蛙\饰纹姬蛙__m4a.wav,5714868243a18bb30c8d6008c296d948f0d0ab8ca1bdd161d4041e4dfe65a6c4,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_89389480ac7eb2be,microhyla_fissipes,Microhyla fissipes,饰纹姬蛙,frog,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_89389480ac7eb2beab814f7d9864115046ab3a68353d7e3b074f2da74c4301cf,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\蛙\饰纹姬蛙\饰纹姬蛙__wav.wav,89389480ac7eb2beab814f7d9864115046ab3a68353d7e3b074f2da74c4301cf,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_4f679d930465ee43,nidirana_mangveni,Nidirana mangveni,孟闻琴蛙,frog,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_4f679d930465ee430cc702bce3327a341682a8fcf8e983ad967c62d85727a25f,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\蛙\孟闻琴蛙\孟闻琴蛙__wav.wav,4f679d930465ee430cc702bce3327a341682a8fcf8e983ad967c62d85727a25f,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_604bc7b44a698a9d,pelophylax_nigromaculatus,Pelophylax nigromaculatus,黑斑侧褶蛙,frog,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_604bc7b44a698a9de12ba712a9b1508fbd1b0880191b05bbb9cb102e050a4baf,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\蛙\黑斑侧褶蛙\黑斑侧褶蛙__mp3.wav,604bc7b44a698a9de12ba712a9b1508fbd1b0880191b05bbb9cb102e050a4baf,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
shengshengbuxi_2026_official,official_8b7e9b159e64e296,pelophylax_nigromaculatus,Pelophylax nigromaculatus,黑斑侧褶蛙,frog,organizer-provided challenge package,,ORGANIZER_PROVIDED,,False,生声不息AI挑战赛项目组,official_reference,,,,,test,official_source_8b7e9b159e64e296181b7bf86ecc21015ff0a09475a1c914732babed8504519f,D:\C\Desktop\ai\xykw\data\interim\challenge_2026_standard_48k_v2\蛙\黑斑侧褶蛙\黑斑侧褶蛙__wav.wav,8b7e9b159e64e296181b7bf86ecc21015ff0a09475a1c914732babed8504519f,official_reference,organizer,,官方标准声；同一源录音切片不得跨训练、验证和测试集。
